IP_Address,Timestamp,Request_type,Access,Response_code,Bytes_sent,Operating_system,Browser
183.82.29.72,05/Jun/2023:14:52:46,GET,/vulnerabilities/upload/,302,0,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:52:46,GET,/login.php,200,698,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:52:46,GET,/dvwa/css/login.css,200,406,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:52:47,GET,/dvwa/images/login_logo.png,200,9088,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:52:47,GET,/favicon.ico,200,1406,Linux,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:52:52,GET,/vulnerabilities/upload/,302,0,Win64,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:52:52,GET,/login.php,200,699,Win64,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:52:52,GET,/dvwa/css/login.css,200,406,Win64,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:52:52,GET,/dvwa/images/login_logo.png,200,9088,Win64,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:52:52,GET,/favicon.ico,200,1406,Win64,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:52:52,GET,/login.php,200,700,Win64,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:53:07,POST,/login.php,302,0,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:53:07,GET,/index.php,200,2685,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:53:08,GET,/dvwa/css/main.css,200,1109,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:53:08,GET,/dvwa/js/dvwaPage.js,200,466,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:53:08,GET,/dvwa/js/add_event_listeners.js,200,276,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:53:08,GET,/dvwa/images/logo.png,200,5044,Linux,Chrome/114.0.0.0 Safari/537.36
49.37.227.53,05/Jun/2023:14:53:44,GET,/index.php,302,0,Linux,Chrome/105.0.0.0 Safari/537.36
49.37.227.53,05/Jun/2023:14:53:44,GET,/login.php,200,699,Linux,Chrome/105.0.0.0 Safari/537.36
49.37.227.53,05/Jun/2023:14:53:45,GET,/dvwa/images/login_logo.png,200,9088,Linux,Chrome/105.0.0.0 Safari/537.36
49.37.227.53,05/Jun/2023:14:53:45,GET,/dvwa/css/login.css,200,406,Linux,Chrome/105.0.0.0 Safari/537.36
49.37.227.53,05/Jun/2023:14:53:45,GET,/favicon.ico,200,1406,Linux,Chrome/105.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:06,GET,/vulnerabilities/sqli/,200,1420,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:13,GET,/setup.php,200,1969,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:13,GET,/dvwa/images/spanner.png,200,464,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:19,POST,/setup.php,302,0,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:20,GET,/setup.php,200,2076,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:26,GET,/vulnerabilities/sqli/,200,1420,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:31,GET,/security.php,200,2103,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:31,GET,/dvwa/images/lock.png,200,761,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:38,POST,/security.php,302,0,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:38,GET,/security.php,200,2120,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:40,GET,/vulnerabilities/sqli/,200,1461,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:54:49,POST,/vulnerabilities/sqli/,200,1484,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:14,GET,/security.php,200,2105,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:25,POST,/security.php,302,0,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:26,GET,/security.php,200,2120,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:27,GET,/vulnerabilities/sqli/,200,1409,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:30,GET,/vulnerabilities/sqli/session-input.php,200,494,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:30,GET,/dvwa/css/source.css,200,166,Linux,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:34,GET,/vulnerabilities/upload/,302,0,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:34,GET,/login.php,200,699,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:34,GET,/dvwa/css/login.css,200,406,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:34,GET,/dvwa/images/login_logo.png,200,9088,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:34,GET,/favicon.ico,200,1406,Linux,Chrome/113.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:37,GET,/security.php,200,2105,Linux,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:39,POST,/login.php,302,0,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:39,GET,/login.php,200,715,Linux,Chrome/113.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:42,GET,/vulnerabilities/sqli/,200,1409,Linux,Chrome/114.0.0.0 Safari/537.36
183.82.29.72,05/Jun/2023:14:55:44,GET,/vulnerabilities/sqli/session-input.php,200,494,Linux,Chrome/114.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:48,POST,/login.php,302,0,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:48,GET,/index.php,200,2685,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:48,GET,/dvwa/css/main.css,200,1109,Linux,Chrome/113.0.0.0 Safari/537.36
117.223.90.32,05/Jun/2023:14:55:48,GET,/dvwa/js/dvwaPage.js,200,466,Linux,Chrome/113.0.0.0 Safari/537.36
